Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chineseimp
STR_TERJESKILL_MISC1,Level,Level,Úroveň,Level,Уровень,Poziom,Szint,Livello,Nivel,Niveau,等級,レベル,Nível,水平
STR_TERJESKILL_MISC2,Experience,Experience,Zkušenost,Erfahrung,Опыт,Doświadczenie,Tapasztalat,Esperienza,Experiencia,Expérience,經驗,経験,Experiência,经验
STR_TERJESKILL_MISC3,Perk Points,Perk Points,Perkové brýle,Vorteilspunkte,Очки перков,Punkty atutów,Perk Pontok,Punti vantaggi,Puntos de beneficio,Points de Compétence,技能點,特典ポイント,Pontos de vantagem,振作点
STR_TERJESKILL_MISC4,Current perk stage improves stats by,Current perk stage improves stats by,Aktuální fáze perku zlepšuje statistiku o,Der aktuelle Level dieses Vorteils verbessert den Wert um,Текущая стадия перка улучшает характеристику на,Obecny poziom atutu poprawia statystykę o,A jutalom jelenlegi szakasza javítja a statisztikát,La fase attuale del vantaggio migliora la statistica di,La etapa actual del beneficio mejora la estadística al,Le niveau actuel améliore la stat de,當前技能階段提升屬性值至,パークの現在の段階では、ステータスが次のように向上します。,O estágio de vantagem atual melhora as estatísticas por,当前阶段的福利将统计数据提高了
STR_TERJESKILL_MISC5,Next perk stage requires,Next perk stage requires,Další fáze perku vyžaduje,Die nächste Stufe des Vorteils erfordert,Для следующей стадии перка требуется,Następny etap atutu wymaga,A következő juttatási szakasz megköveteli,La fase successiva del vantaggio richiede,La siguiente etapa de beneficios requiere,Le prochain niveau nécessite,下一階段的技能需求,次の特典ステージには必要なものがあります,O estágio de vantagem atual melhora as estatísticas por,下一个福利阶段需要
STR_TERJESKILL_MISC6,perk point(s) and skill level,perk point(s) and skill level,perk bod(y) a úroveň dovedností,Vorteilspunkt(e) und Fähigkeitsstufe,очко(в) перков и уровень навыка,Punkty atutów i poziom umiejętności,perk pont(ok) és képzettségi szint,punti vantaggio e livello di abilità,puntos de beneficio y nivel de habilidad,point(s) de compétence et un niveau de compétence,技能點和技能等級,パークポイントとスキルレベル,O estágio de vantagem atual melhora as estatísticas por,津贴点和技能水平
STR_TERJESKILL_MISC7,to improve stats by,to improve stats by,zlepšit statistiky o,um die Statistiken zu verbessern,чтобы улучшить характеристику на,aby poprawić statystyki o,a statisztikák javításához,per migliorare le statistiche di,para mejorar las estadísticas a las,pour améliorer la stat de,以提升屬性值至,統計を改善するために,O estágio de vantagem atual melhora as estatísticas por,通过以下方式改进统计数据
STR_TERJESKILL_MISC8,PERK IS ACTIVE,PERK IS ACTIVE,PERK JE AKTIVNÍ,VORTEIL IST AKTIV,ПЕРК АКТИВЕН,ATUT JEST AKTYWNY,A PERK AKTÍV,IL VANTAGGIO È ATTIVO,PERK ACTIVO,AVANTAGE ACTIF,技能已啟用,特典は有効です,PERK ATIVO,该振作是活跃的
STR_TERJESKILL_MISC9,THE PERK IS DISABLED BECAUSE YOUR SKILL LEVEL IS BELOW THEN REQUIRED,THE PERK IS DISABLED BECAUSE YOUR SKILL LEVEL IS BELOW THEN REQUIRED,"PERK JE VYPNUTÝ, PROTOŽE ÚROVEŇ VAŠÍ DOVEDNOSTI JE NIŽŠÍ NEŽ TA, KTEROU POTŘEBUJETE","DER VORTEIL IST DEAKTIVIERT, DA DAS LEVEL DIESER FERTIGKEIT NIEDRIGER IST ALS ERFORDERLICH",ПЕРК ОТКЛЮЧЕН ТАК КАК УРОВЕНЬ ВАШЕГО НАВЫКА НИЖЕ НЕОБХОДИМОГО,"ATUT JEST WYŁĄCZONY, PONIEWAŻ POZIOM UMIEJĘTNOŚCI JEST NIŻSZY OD WYMAGANEGO","A PERK LE VAN TILTVA, MERT A KÉPZETTSÉGI SZINTJE A SZÜKSÉGES SZINT ALATT VAN",IL VANTAGGIO È DISABILITATO PERCHÉ IL TUO LIVELLO DI ABILITÀ È INFERIORE A QUELLO RICHIESTO,EL BENEFICIO ESTÁ DESACTIVADO PORQUE SU NIVEL DE HABILIDAD ES INFERIOR AL NECESARIO,L'AVANTAGE EST DÉSACTIVÉ CAR VOTRE NIVEAU DE COMPÉTENCE EST INFÉRIEUR À CELUI REQUIS,該技能已禁用，因為你的技能等級低於所需等級。,スキルレベルが必要なレベルを下回っているため、特典は無効になります,PERK ESTÁ DESATIVADO PORQUE SEU NÍVEL DE HABILIDADE ESTÁ ABAIXO DO NECESSÁRIO,因为你的技能水平低于要求的水平，所以你的技能是被禁用的
STR_TERJESKILL_MISC10,THE PERK LEVEL HAS BEEN LOWERED BECAUSE YOUR SKILL LEVEL IS BELOW THEN REQUIRED,THE PERK LEVEL HAS BEEN LOWERED BECAUSE YOUR SKILL LEVEL IS BELOW THEN REQUIRED,"ÚROVEŇ PERKU JE SNÍŽENA, PROTOŽE ÚROVEŇ VAŠÍ DOVEDNOSTI JE NIŽŠÍ NEŽ TA, KTEROU POTŘEBUJETE","DER LEVEL DIESES VORTEILS WURDE GESENKT, DA IHRE FERTIGKEIT UNTER DEM ERFORDERLICHEN LEVEL LIEGT",УРОВЕНЬ ПЕРКА ПОНИЖЕН ТАК КАК УРОВЕНЬ ВАШЕГО НАВЫКА НИЖЕ НЕОБХОДИМОГО,"POZIOM ATUTU ZOSTAŁ OBNIŻONY, PONIEWAŻ POZIOM UMIEJĘTNOŚCI GRACZA JEST NIŻSZY OD WYMAGANEGO.","A PERK SZINT CSÖKKENT, MERT A KÉPZETTSÉGI SZINT ALATT VAN A SZÜKSÉGES EGY",IL LIVELLO DEL VANTAGGIO È ABBASSATO PERCHÉ IL LIVELLO DELLA TUA ABILITÀ È INFERIORE A QUELLO RICHIESTO,EL NIVEL DE BENEFICIO SE HA REDUCIDO DEBIDO A QUE SU NIVEL DE HABILIDAD ES INFERIOR AL NECESARIO,LE NIVEAU D'AVANTAGE EST ABAISSÉ CAR VOTRE NIVEAU DE COMPÉTENCE EST INFÉRIEUR À CELUI REQUIS,該技能級別已降低，因為你的技能等級低於所需等級。,スキルレベルが必要なレベルを下回っているため、特典レベルが低下しました,O NÍVEL DE VANTAGEM FOI REDUZIDO PORQUE SUA HABILIDADE ESTÁ ABAIXO DO NECESSÁRIO,由于您的技能水平低于所需水平，因此PERK级别已降低
STR_TERJESKILL_MISC11,CLICK TO UPGRADE,CLICK TO UPGRADE,UPGRADE NA DALŠÍ FÁZI JE K DISPOZICI,KLICKEN UM ZU UPGRADEN,ДОСТУПНО ОБНОВЛЕНИЕ ДО СЛЕДУЮЩЕЙ СТАДИИ,DOSTĘPNY JEST AWANS DO NASTĘPNEGO ETAPU,FRISSÍTÉS A KÖVETKEZŐ SZAKASZRA ELÉRHETŐ,L'AGGIORNAMENTO ALLA FASE SUCCESSIVA È DISPONIBILE,LA ACTUALIZACIÓN A LA SIGUIENTE ETAPA ESTÁ DISPONIBLE,CLIQUER POUR AMÉLIORER,點擊升級,次のステージへのアップグレードが可能です,A ATUALIZAÇÃO PARA A PRÓXIMA FASE ESTÁ DISPONÍVEL,可升级到下一阶段
STR_TERJESKILL_MISC12,Stage,Stage,Fáze,Stadium,Стадия,Etap,Színpad,Fase,Etapa,Niveau,階段,ステージ,Estágio,階段
STR_TERJESKILL_MISC13,Reset all the perks?,Reset all the perks?,Shodit všechny Perky?,Alle Vorteile zurücksetzen?,Сбросить все перки?,Zresetować wszystkie atuty?,Visszaállítja az összes juttatást?,Resettare tutti i vantaggi?,¿Restablecer todas las ventajas?,Réinitialiser toutes les compétences ?,重置所有技能嗎？,すべての特典をリセットしますか？,Perder todas as vantagens?,重置所有技能嗎？
STR_TERJESKILL_MISC14,Do you really want to reset this skill category? You will keep,Do you really want to reset this skill category? You will keep,Opravdu chcete resetovat všechny výhody pro tuto dovednost? Po resetování se dostanete zpět pouze,Möchtest du wirklich alle Vorteile für diese Fertigkeit zurücksetzen? Nach dem Zurücksetzen erhalten Sie nur,Вы действительно хотите сбросить все перки для этого навыка? После сброса вы получите обратно только,Czy naprawdę chcesz zresetować wszystkie atuty tej umiejętności? Po zresetowaniu odzyskasz tylko,Tényleg vissza akarja állítani az összes juttatást ehhez a képességhez? A visszaállítás után csak vissza fog térni,Vuoi davvero ripristinare tutti i vantaggi per questa abilità? Dopo il ripristino si otterrà indietro solo,"¿Realmente quieres restablecer todas las ventajas de esta habilidad? Después de restablecer, solo volverá",Voulez-vous vraiment réinitialiser cette catégorie de compétences ? Vous conserverez,你真的想重置這個技能類別嗎？你將保留,あなたは本当にこのスキルのすべての特典をリセットしたいですか？ リセットした後、あなただけ戻って取得します,Você realmente quer redefinir todas as vantagens para essa habilidade? Depois de redefinir você vai voltar apenas,你真的想重置这个技能的所有津贴吗? 重置后，你只会回来
STR_TERJESKILL_MISC15,of your experience.,of your experience.,vašich současných zkušeností.,Ihrer aktuellen Erfahrung zurück.,от вашего текущего опыта.,twojego doświadczenia,a jelenlegi tapasztalat.,della tua esperienza attuale.,de su experiencia actual.,de votre expérience.,您的經驗。,あなたの現在の経験の。,da sua experiência atual.,你目前经验的。
STR_TERJESKILL_STRENGTH_DESC,The Strength skill category increases your carrying capacity and boosts the power of melee attacks. Train this skill through regular physical activity and by using melee weapons.,The Strength skill category increases your carrying capacity and boosts the power of melee attacks. Train this skill through regular physical activity and by using melee weapons.,Dovednost síly vám umožňuje nést větší váhu a udeřit silnějšími zbraněmi na blízko. Cvičení při pravidelné fyzické námaze a použití zbraní na blízko.,Mit der Kraftfähigkeit kannst du mehr Gewicht tragen und stärker zuschlagen. Sie werden besser mit regelmäßiger körperlicher Anstrengung und durch den Kampf mit Nahkampfwaffen.,Навык силы позволяет вам переносить больший вес и наносить более мощные удары оружием ближнего боя. Тренируясь при регулярных физических нагрузках и использовании оружия ближнего боя.,Umiejętność Siły pozwala ci dźwigać większe ciężary i zadawać potężniejsze ciosy bronią do walki wręcz. Dzięki regularnemu treningowi fizycznemu i korzystaniu z broni białej.,"Az erő képesség lehetővé teszi, hogy több súlyt hordozzon, és erősebb ütéseket nyújtson közelharci fegyverekkel. Rendszeres fizikai aktivitással és közelharci fegyverek használatával.",L'abilità di forza ti consente di trasportare più peso e sferrare colpi più potenti con armi da mischia. Allenarsi con attività fisica regolare e usare armi da mischia.,La habilidad de fuerza te permite llevar más peso y lanzar golpes más poderosos con armas cuerpo a cuerpo. Entrenando con actividad física regular y usando armas cuerpo a cuerpo.,La catégorie de compétence Force augmente votre capacité de portage et renforce la puissance des attaques au corps à corps. Entraînez cette compétence par une activité physique régulière et en utilisant des armes de mêlée.,力量技能類別增加你的負重能力並提升近戰攻擊的威力。通過定期的體能活動和使用近戰武器來訓練這項技能。,強さのスキルを使用すると、より多くの重量を運び、近接武器でより強力な打撃を与えることができます。 定期的な身体活動と近接武器を使用して訓練することによって。,A habilidade de força permite que você carregue mais peso e aplique golpes corpo a corpo mais poderosos. Treinando com esforço físico regular e usando armas brancas.,力量技能可以讓你攜帶更多的重量和提供更強大的打擊與近戰武器。 通過定期的身體活動和使用近戰武器進行訓練。
STR_TERJESKILL_STRENGTH_MOD0,Increases the maximum carried weight by,Increases the maximum carried weight by,Zvyšuje maximální nesenou hmotnost o,Erhöht das maximal zu transportierende Gewicht um,Увеличивает максимально переносимый вес на,Zwiększa maksymalną przenoszoną wagę o,Növeli a maximális hordozott súlyt,Aumenta il peso massimo trasportato da,Aumenta el peso máximo transportado en,Augmente le poids maximum transporté de,增加最大可攜帶重量至,によって最大搬送重量を増加させます,Aumenta o peso máximo transportado em,增加最大承載重量
STR_TERJESKILL_ATHLETIC_MOD0,Increases the maximum amount of stamina by,Increases the maximum amount of stamina by,Zvyšuje maximální výdrž o,Erhöht die maximale Ausdauer um,Увеличивает максимальную выносливость на,Zwiększa maksymalną wytrzymałość o,Növeli az állóképesség maximális mennyiségét,Aumenta la quantità massima di resistenza di,Aumenta la cantidad máxima de resistencia en,Augmente la quantité maximale d'endurance de,增加最大體力值至,スタミナの最大量を次のように増加させます,Aumenta a quantidade máxima de resistência em,增加耐力的最大數量
STR_TERJESKILL_ATHLETIC_DESC,"The Athletics skill category improves your endurance, affecting stamina consumption and recovery while moving. Train this skill by running long distances.","The Athletics skill category improves your endurance, affecting stamina consumption and recovery while moving. Train this skill by running long distances.","Atletická dovednost ovlivňuje vaši vytrvalost, její spotřebu a regeneraci při pohybu. Tato dovednost se trénuje při běhu na dlouhé vzdálenosti.","Leichtathletik beeinflusst Ihre Ausdauer, ihren Verbrauch und Ihre Regeneration während der Bewegung. Diese Fertigkeit wird trainiert, wenn Sie lange Strecken laufen.","Навык атлетики влияет на вашу выносливость, ее расход и восстановление при движении. Этот навык тренируется при беге на длинные дистанции.","Umiejętność ta wpływa na wytrzymałość, jej wydatek i regenerację podczas ruchu. Umiejętność ta jest trenowana podczas biegania na długich dystansach.","Az atlétika képessége befolyásolja a kitartást,a fogyasztást és a mozgást. Ezt a képességet nagy távolságok futtatásakor képzik.","L'abilità atletica influisce sulla resistenza, sul consumo e sul recupero durante il movimento. Questa abilità viene allenata durante la corsa a lunga distanza.","La habilidad atlética afecta su resistencia, su gasto y su recuperación al moverse. Esta habilidad se entrena al correr largas distancias.","La catégorie de compétence Athlétisme améliore votre endurance, affectant la consommation et la récupération d'endurance en mouvement. Entraînez cette compétence en parcourant de longues distances en courant.",運動技能類別可以提升你的耐力，影響移動時的體力消耗和恢復。透過長時間跑步來訓練這項技能。,陸上競技のスキルは、あなたの持久力、その消費と回復に移動するときに影響を与えます。 このスキルは、長距離を走るときに訓練されます。,"A habilidade atlética afeta sua resistência, seu consumo e sua recuperação ao se mover. Esta habilidade é treinada ao correr longas distâncias.",運動技能會影響你的耐力，運動時的消耗和恢複。 這種技能是在長距離跑步時訓練的。
STR_TERJESKILL_HEADER,SKILLS,SKILLS,ZNALOST,FERTIGKEITEN,НАВЫКИ,UMIEJĘTNOŚCI,Készségek,ABILITÀ,HABILIDADES,COMPÉTENCES,技能,スキル,Competências,技能
STR_TERJESKILL_MISC16,Bonuses for different stages of the perk:,Bonuses for different stages of the perk:,Bonusy za různé fáze perku:,Boni für verschiedene Stufen des Perks:,Бонусы за разные стадии перка:,Premie za różne poziomy atutów:,Bónuszok a perk különböző szakaszaiban:,Bonus per diverse fasi del vantaggio:,Bonos para diferentes etapas de beneficio:,Bonus pour les différents niveaux de compétence :,技能不同階段的獎勳：,特典のさまざまな段階のためのボーナス:,Bônus para diferentes estágios de vantagem:,技能不同階段的獎勳：
STR_TERJEPERK_STRNG_HEAVYONSLAUGHT,Heavy Onslaught,Heavy Onslaught,Těžký nápor,Schwerer Ansturm,Тяжёлый натиск,Ciężkie natarcie,Nehéz támadás,Assalto pesante,Fuerte embestida,Assaut Lourd,重擊猛攻,重い猛攻撃,Pressão pesada,猛攻
STR_TERJEPERK_STRNG_HEAVYONSLAUGHT_DES,"You have learned how to distribute your forces correctly. Strong punches now require less stamina, which allows you to conserve energy even in the most intense fights.","You have learned how to distribute your forces correctly. Strong punches now require less stamina, which allows you to conserve energy even in the most intense fights.","Naučili jste se správně rozložit své síly. Silné údery nyní vyžadují méně vytrvalosti, což vám umožní udržet energii i v těch nejtvrdších kontrakcích.","Sie haben gelernt, Ihre Kräfte kompetent zu verteilen. Starke Schläge erfordern jetzt weniger Ausdauer, sodass Sie selbst in den anstrengendsten Kämpfen Energie sparen können.","Вы научились грамотно распределять свои силы. Сильные удары теперь требуют меньше выносливости, что позволяет вам сохранять энергию даже в самых напряжённых схватках.","Nauczyłeś się mądrze rozdzielać swoją siłę. Silne uderzenia wymagają teraz mniej wytrzymałości, co pozwala oszczędzać energię nawet w najbardziej intensywnych walkach.","Megtanultad, hogyan kell helyesen elosztani az erőidet. Az erős ütések most kevesebb kitartást igényelnek, ami lehetővé teszi az energia megőrzését még a legintenzívebb harcokban is.","Hai imparato a distribuire correttamente le tue forze. I colpi forti ora richiedono meno resistenza, permettendoti di risparmiare energia anche negli incontri più intensi.","Has aprendido a distribuir correctamente tus fuerzas. Los golpes fuertes ahora requieren menos resistencia, lo que te permite conservar energía incluso en las peleas más intensas.","Vous avez appris à répartir correctement vos forces. Les coups puissants nécessitent désormais moins d'endurance, ce qui vous permet d'économiser de l'énergie même dans les combats les plus intenses.",你已學會如何正確分配力量。強力拳擊現在需要更少的體力，這使你即使在最激烈的戰鬥中也能保持能量。,あなたはあなたの力を正しく分配する方法を学びました。 強いパンチは今より少ないスタミナを必要とします、それはあなたが最も激しい戦いでさえエネルギーを節約することを可能にします。,"Você aprendeu a distribuir suas forças. Golpes fortes agora exigem menos resistência, permitindo que você economize energia mesmo nas lutas mais intensas.",你已经学会了如何正确地分配你的力量。 强拳现在需要更少的耐力，这可以让你节省能量，即使在最激烈的战斗。
STR_TERJEPERK_STRNG_DESTRUCTONSLAUGHT,Destructive Onslaught,Destructive Onslaught,Ničivý nápor,Zerstörender Ansturm,Разрушающий натиск,Niszczycielskie natarcie,A pusztító támadás,Assalto distruttivo,Embestida destructiva,Assaut Destructeur,毀滅猛攻,破壊的な猛攻撃,Um ataque devastador,破坏性的冲击
STR_TERJEPERK_STRNG_DESTRUCTONSLAUGHT_DES,"Your strong punches have become more destructive. The damage from powerful attacks has been increased, allowing you to easily break through opponents' defenses and inflict more serious damage.","Your strong punches have become more destructive. The damage from powerful attacks has been increased, allowing you to easily break through opponents' defenses and inflict more serious damage.","Vaše silné údery jsou ničivější. Poškození silnými útoky je zvýšené, což vám umožní snadno prorazit obranu protivníků a způsobit vážnější poškození.","Ihre starken Schläge sind zerstörerischer geworden. Der Schaden durch mächtige Angriffe wurde erhöht, sodass du die Verteidigung deiner Gegner leicht durchbrechen und schwerere Schäden verursachen kannst.","Ваши сильные удары стали разрушительнее. Урон от мощных атак увеличен, позволяя вам с лёгкостью пробивать защиту противников и наносить более серьёзные повреждения.","Twoje silne ciosy stały się bardziej niszczycielskie. Obrażenia zadawane przez silne ataki zostały zwiększone, dzięki czemu możesz z łatwością przełamywać obronę wroga i zadawać większe obrażenia.","Az erős ütéseid pusztítóbbak lettek. Az erőteljes támadásokból származó károk megnövekedtek, lehetővé téve, hogy könnyedén áttörje az ellenfelek védelmét és komolyabb károkat okozzon.","I tuoi colpi forti sono diventati più distruttivi. I danni da attacchi potenti sono aumentati, permettendoti di perforare facilmente le difese degli avversari e infliggere danni più gravi.","Sus fuertes golpes se han vuelto más destructivos. El daño de los ataques poderosos aumenta, lo que te permite perforar las defensas de tus oponentes con facilidad y causar daños más graves.","Vos coups puissants sont devenus plus destructeurs. Les dégâts des attaques puissantes ont été augmentés, vous permettant de percer facilement les défenses des adversaires et d'infliger des dommages plus sérieux.",你的強力拳擊變得更加具毀滅性。強力攻擊的傷害已增加，使你能輕易突破對手的防禦，並造成更嚴重的傷害。,あなたの強いパンチはより破壊的になっています。 強力な攻撃によるダメージが増加し、相手の防御を簡単に突破し、より深刻なダメージを与えることができます。,"Os seus fortes golpes tornaram-se mais devastadores. O dano de ataques poderosos é aumentado, permitindo que você rompa as defesas inimigas com facilidade e cause danos mais graves.",你的强拳已经变得更具破坏性。 强大攻击的伤害增加了，让你轻松突破对手的防御，造成更严重的伤害。
STR_TERJEPERK_STRNG_STRONGHANDS,Sturdy Hands,Sturdy Hands,Mocná ruka,starke Hände,Сильные руки,Silne ręce,Erős kezek,Braccia forti,Manos fuertes,Mains Solides,強壯的手,強い手,Mãos fortes,强壮的双手
STR_TERJEPERK_STRNG_STRONGHANDS_DES,"Your body is designed to carry heavy and bulky objects. You can easily manage what seems to others to be unaffordable, without losing mobility.","Your body is designed to carry heavy and bulky objects. You can easily manage what seems to others to be unaffordable, without losing mobility.","Vaše tělo je přizpůsobeno pro nošení těžkých a objemných předmětů. Snadno ovládáte to, co se ostatním zdá neodstranitelné, aniž byste ztratili pohyblivost.","Ihr Körper ist für das Tragen schwerer und sperriger Gegenstände geeignet. Sie können leicht steuern, was für andere unerträglich erscheint, ohne Ihre Beweglichkeit zu verlieren.","Ваше тело приспособлено для переноски тяжёлых и громоздких предметов. Вы с лёгкостью управляете тем, что для других кажется неподъёмным, не теряя при этом подвижности.","Twoje ciało jest przystosowane do przenoszenia ciężkich i nieporęcznych przedmiotów. Z łatwością zarządzasz tym, co dla innych wydaje się nie do zniesienia, nie tracąc przy tym mobilności.","A testet úgy tervezték, hogy nehéz és terjedelmes tárgyakat szállítson. Könnyedén kezelheti azt, ami mások számára megfizethetetlennek tűnik, anélkül, hogy elveszítené a mobilitást.",Il tuo corpo è attrezzato per trasportare oggetti pesanti e ingombranti. Gestisci facilmente ciò che sembra insopportabile per gli altri senza perdere la mobilità.,"Su cuerpo está Adaptado para transportar objetos pesados y voluminosos. Usted controla fácilmente lo que para otros parece imposible, sin perder la movilidad.","Votre corps est conçu pour porter des objets lourds et volumineux. Vous pouvez gérer facilement ce qui semble inabordable pour les autres, sans perdre en mobilité.",你的身體適合搬運沉重且笨重的物品。你可以輕鬆處理那些對他人來說似乎無法負擔的物品，並且不會失去靈活性。,あなたの体は重くてかさばる物を運ぶように設計されています。 モビリティを失うことなく、他の人には手が届かないと思われるものを簡単に管理できます。,"Seu corpo está adaptado para transportar objetos pesados e volumosos. Você controla com facilidade o que parece impossível para os outros, sem perder a mobilidade.",你的身體適合搬運沉重且笨重的物品。你可以輕鬆處理那些對他人來說似乎無法負擔的物品，並且不會失去靈活性。
STR_TERJEPERK_STRNG_MASTERSTROKE,Masterstroke,Masterstroke,Masterstroke,Meisterleistung,Удар мастера,Ojcowski,Masterstroke,Masterstroke,Golpe Maestro,Coup Magistral,絕妙一擊,マスターストローク,Golpe de mestre,絕妙一擊
STR_TERJEPERK_STRNG_MASTERSTROKE_DES,Your single punches are so powerful that they can instantly knock out zombies or other players. One precise blow and the enemy is already on the ground.,Your single punches are so powerful that they can instantly knock out zombies or other players. One precise blow and the enemy is already on the ground.,"Vaše singleplayerové údery jsou tak silné, že jsou schopny okamžitě poslat zombie nebo jiné hráče do knockoutu. Jeden přesný úder a nepřítel je na zemi.","Ihre einzelnen Schläge sind so mächtig, dass sie Zombies oder andere Spieler sofort zum Knockout schicken können. Ein genauer Schlag — und der Feind ist bereits am Boden.","Ваши одиночные удары настолько мощны, что способны мгновенно отправить в нокаут зомби или других игроков. Один точный удар — и враг уже на земле.","Potrafisz zajebać Ojcowskiego. Twoje pojedyncze ciosy są tak potężne, że mogą natychmiast powalić zombie lub innych graczy. Jeden precyzyjny cios i wróg leży na ziemi.","Az egyes ütések olyan erősek, hogy azonnal kiüthetik a zombikat vagy más játékosokat. Egy pontos ütés és az ellenség már a földön van.",I tuoi colpi singoli sono così potenti che sono in grado di inviare immediatamente zombi o altri giocatori a eliminazione diretta. Un colpo preciso — e il nemico è già a terra.,"Tus golpes individuales son tan poderosos que son capaces de eliminar instantáneamente a zombies u otros jugadores. Un golpe preciso, y el enemigo ya está en el Suelo.",Vos coups simples sont si puissants qu'ils peuvent instantanément assommer des zombies ou d'autres joueurs. Un coup précis et l'ennemi est déjà au sol.,你的單次拳擊威力極大，能夠瞬間擊倒僵屍或其他玩家。一次精準的重擊，敵人就會倒地不起。,あなたのシングルパンチは非常に強力なので、ゾンビや他のプレイヤーを即座にノックアウトすることができます。 一つの正確な打撃と敵はすでに地面にあります。,Seus golpes individuais são tão poderosos que podem instantaneamente nocautear zumbis ou outros jogadores. Um golpe preciso e o inimigo já está no chão.,你的單次拳擊威力極大，能夠瞬間擊倒僵屍或其他玩家。一次精準的重擊，敵人就會倒地不起。
STR_TERJEPERK_STRNG_LIGHTARMOR,Lightweight Armor,Lightweight Armor,Lehké brnění,Leichte Rüstung,Облегченная броня,Lekki pancerz,Könnyű páncél,Armatura leggera,Armadura ligera,Armure Légère,輕型盔甲,軽量防具,Armadura leve,輕型盔甲
STR_TERJEPERK_STRNG_LIGHTARMOR_DES,"You have learned how to wear armor effectively, reducing its weight on your body. Even the heaviest protection feels lighter to you, which allows you to move faster and more freely.","You have learned how to wear armor effectively, reducing its weight on your body. Even the heaviest protection feels lighter to you, which allows you to move faster and more freely.","Naučili jste se nosit brnění efektivně a zároveň jste snížili jeho váhu na těle. I ta nejtěžší ochrana se vám zdá lehčí, což vám umožní pohybovat se rychleji a volněji.","Sie haben gelernt, Rüstung effektiv zu tragen, indem Sie ihr Gewicht auf Ihrem Körper reduzieren. Selbst der schwerste Schutz scheint Ihnen leichter zu sein, wodurch Sie sich schneller und freier bewegen können.","Вы научились эффективно носить броню, уменьшая её вес на своём теле. Даже самая тяжёлая защита кажется вам легче, что позволяет вам двигаться быстрее и свободнее.","Nauczyłeś się skutecznie nosić opancerzenie, zmniejszając jego ciężar na ciele. Nawet najcięższa kamizelka jest lżejsza, dzięki czemu możesz poruszać się szybciej i swobodniej.","Megtanulta, hogyan kell hatékonyan viselni a páncélt, csökkentve annak súlyát a testén. Még a legnehezebb védelem is könnyebbnek érzi magát, ami lehetővé teszi a gyorsabb és szabadabb mozgást.","Hai imparato a indossare l'armatura in modo efficace riducendo il suo peso sul tuo corpo. Anche la difesa più pesante ti sembra più leggera, permettendoti di muoverti più velocemente e più liberamente.","Has aprendido a usar la armadura de manera efectiva, reduciendo su peso en tu cuerpo. Incluso la defensa más pesada te parece más ligera, lo que te permite moverte más rápido y más libremente.","Vous avez appris à porter efficacement l'armure, réduisant son poids sur votre corps. Même la protection la plus lourde vous semble plus légère, ce qui vous permet de vous déplacer plus rapidement et plus librement.",你已學會如何有效穿戴盔甲，減輕其對身體的負擔。即使是最重的防護裝備對你來說也感覺更輕，使你能夠更快速、更自由地移動。,あなたはあなたの体にその重量を減らす、効果的に鎧を着用する方法を学びました。 最も重い保護でさえあなたにとって軽く感じます、それはあなたがより速くそしてより自由に動くことを可能にします。,"Você aprendeu a usar a armadura de forma eficaz, reduzindo seu peso em seu corpo. Mesmo a defesa mais pesada parece mais fácil para você, permitindo que você se mova mais rápido e com mais liberdade.",你已经学会了如何有效地穿盔甲，减少它对你身体的重量。 即使是最重的保护对你来说也感觉更轻，这可以让你更快，更自由地移动。
STR_TERJEPERK_STRNG_ARMORDISSECTOR,Armor Dissector,Armor Dissector,Disektor brnění,Panzerzerleger,Рассекатель брони,Rozgałęziacz pancerza,Armor dissector,Dissettore armatura,Disector de armadura,Désosseur d'Armure,盔甲剖析者,アーマーディセクター,Dissecador de armaduras,护甲解剖器
