"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_TERJEPERK_IMMTY_HEMATOMARECOVERY","Bruises Recovery","Bruises Recovery","Obnova hematomu","Heilung von Hämatomen","Восстановление гематом","Leczenie siniaków","A hematóma gyógyulása","Recupero dell'ematoma","Recuperación del hematoma","Guérison des Contusions","瘀傷恢復","血腫の回復","Resistência ao envenenamento","血肿恢复",
"STR_TERJEPERK_IMMTY_HEMATOMARECOVERY_DES","Your bruises heal faster due to the body's improved ability to regenerate. By helping to accelerate blood circulation and tissue repair, you significantly reduce the time it takes to eliminate bruises and swelling.","Your bruises heal faster due to the body's improved ability to regenerate. By helping to accelerate blood circulation and tissue repair, you significantly reduce the time it takes to eliminate bruises and swelling.","Vaše hematomy se hojí rychleji díky zlepšené regenerační schopnosti těla. Přispíváním ke zrychlení krevního oběhu a obnově tkání výrazně snížíte čas potřebný k odstranění modřin a otoků.","Ihre Hämatome heilen dank der verbesserten Regenerationsfähigkeit des Körpers schneller. Indem Sie die Durchblutung beschleunigen und das Gewebe reparieren, reduzieren Sie die Zeit, die benötigt wird, um Blutergüsse und Schwellungen zu beseitigen, erheblich.","Ваши гематомы заживают быстрее благодаря улучшенной способности организма к регенерации. Способствуя ускорению кровообращения и восстановлению тканей, вы значительно снижаете время, необходимое для устранения синяков и отеков.","Siniaki goją się szybciej dzięki zwiększonej zdolności organizmu do regeneracji. Promując szybsze krążenie krwi i naprawę tkanek, znacznie skracasz czas potrzebny na ustąpienie siniaków i obrzęków.","A hematomái gyorsabban gyógyulnak, mivel a test jobb regenerációs képessége van. Azáltal, hogy felgyorsítja a vérkeringést és a szövetek helyreállítását, jelentősen csökkenti a zúzódások és a duzzanat megszüntetéséhez szükséges időt.","I tuoi ematomi guariscono più velocemente grazie alla migliore capacità di rigenerazione del corpo. Favorendo l'accelerazione della circolazione sanguigna e la riparazione dei tessuti, si riduce notevolmente il tempo necessario per eliminare lividi e gonfiori.","Sus hematomas se curan más rápido gracias a la capacidad mejorada del cuerpo para regenerarse. Al promover la aceleración de la circulación sanguínea y la reparación de los tejidos, reduce significativamente el tiempo necesario para eliminar los moretones y la hinchazón.","Vos contusions guérissent plus rapidement grâce à la capacité améliorée du corps à se régénérer. En aidant à accélérer la circulation sanguine et la réparation des tissus, vous réduisez considérablement le temps nécessaire pour éliminer les contusions et les gonflements.","由於身體再生能力的提升，你的瘀傷癒合得更快。通過幫助加速血液循環和組織修復，你顯著縮短了消除瘀傷和腫脹所需的時間。","あなたの血腫は、体の再生能力が向上したため、より速く治癒します。 血液循環と組織修復を促進するのを助けることによって、あなたはあざや腫れを排除するのにかかる時間を大幅に短縮します。","Seus hematomas curam mais rapidamente devido à capacidade melhorada do corpo de se regenerar. Ao ajudar a acelerar a circulação sanguínea e reparar tecidos, você reduz significativamente o tempo necessário para eliminar hematomas e inchaço.","由于身体再生能力的提高，血肿愈合得更快。 通过帮助加速血液循环和组织修复，您可以显着减少消除瘀伤和肿胀所需的时间。",
"STR_TERJEPERK_IMMTY_WOUNDHEALING","Wounds Healing","Wounds Healing","Hojení ran","Wundheilung","Заживление ран","Gojenie się ran","Sebgyógyulás","Guarigione delle ferite","Curación de heridas","Guérison des Blessures","傷口癒合","創傷治癒","Cicatrização de feridas","伤口愈合",
"STR_TERJEPERK_IMMTY_WOUNDHEALING_DES","Your wounds heal faster thanks to improved tissue regeneration. Your natural healing processes accelerating the recovery of damaged body parts.","Your wounds heal faster thanks to improved tissue regeneration. Your natural healing processes accelerating the recovery of damaged body parts.","Vaše rány se hojí rychleji díky lepší regeneraci tkání. Zlepšujete přirozené procesy hojení a urychlujete obnovu poškozených oblastí pokožky.","Ihre Wunden heilen schneller durch verbesserte Geweberegeneration. Sie verbessern die natürlichen Heilungsprozesse und beschleunigen die Wiederherstellung beschädigter Hautstellen.","Ваши раны заживают быстрее благодаря улучшенной регенерации тканей. У вас улучшаются естественные процессы заживления, ускоряя восстановление поврежденных участков кожи.","Rany goją się szybciej dzięki lepszej regeneracji tkanek. Naturalne procesy gojenia ulegają poprawie, przyspieszając regenerację uszkodzonej skóry.","A sebek gyorsabban gyógyulnak a jobb szöveti regenerációnak köszönhetően. A természetes gyógyulási folyamatok javulnak, felgyorsítva a sérült bőrterületek helyreállítását.","Le tue ferite guariscono più velocemente grazie a una migliore rigenerazione dei tessuti. I tuoi naturali processi di guarigione migliorano, accelerando la riparazione delle aree della pelle danneggiate.","Sus heridas se curan más rápido gracias a la mejora de la regeneración de los tejidos. Mejora los procesos naturales de curación, acelerando la reparación de las áreas dañadas de la piel.","Vos blessures guérissent plus vite grâce à une régénération tissulaire améliorée. Vos processus de guérison naturels accélèrent la récupération des parties du corps endommagées.","由於組織再生能力的提升，你的傷口癒合得更快。你自然的癒合過程加速了受損身體部位的恢復。","あなたの傷は改善された組織再生のおかげでより速く治癒します。 あなたは自然治癒プロセスを改善し、損傷した皮膚領域の回復を加速しました。","As feridas curam-se mais rapidamente graças à regeneração tecidual melhorada. Você melhora os processos naturais de cicatrização, acelerando a recuperação de áreas danificadas da pele.","由于组织再生的改善,你的伤口愈合得更快. 您的自然愈合过程改善，加速受损皮肤区域的恢复。",
"STR_TERJEPERK_IMMTY_INTOXICRESISTANCE","Intoxication Resistance ","Intoxication Resistance ","Odolnost proti intoxikaci","Widerstand gegen Intoxikation","Сопротивление интоксикации","Odporność na odurzenie","A mérgezéssel szembeni ellenállás","Resistenza all'intossicazione","Resistencia a la intoxicación","Résistance à l'Intoxication","醉酒抗性","中毒に対する耐性","Resistência à intoxicação","对中毒的抵抗力",
"STR_TERJEPERK_IMMTY_INTOXICRESISTANCE_DES","Your body has adapted to the effects of medications, which allows it to remove overdosing faster and minimize negative effects.","Your body has adapted to the effects of medications, which allows it to remove overdosing faster and minimize negative effects.","Vaše tělo se přizpůsobilo účinkům léků, což mu umožňuje rychleji odstranit předávkování a minimalizovat negativní účinky.","Ihr Körper hat sich an die Wirkung von Medikamenten angepasst, wodurch er Überdosierungen schneller beseitigen und negative Auswirkungen minimieren kann.","Ваш организм адаптировался к воздействию лекарств, что позволяет ему быстрее устранять передозировку и минимизировать негативные последствия.","Twój organizm przystosował się do działania leków, co pozwala mu szybciej usunąć przedawkowanie i zminimalizować negatywne skutki.","A szervezet alkalmazkodott a gyógyszerek hatásaihoz, ami lehetővé teszi a túladagolás gyorsabb eltávolítását és a negatív hatások minimalizálását.","Il tuo corpo si è adattato agli effetti dei farmaci, il che gli consente di rimuovere il sovradosaggio più velocemente e ridurre al minimo gli effetti negativi.","Su cuerpo se ha adaptado a los efectos de los medicamentos, lo que le permite eliminar la sobredosis más rápido y minimizar los efectos negativos.","Votre corps s'est adapté aux effets des médicaments, ce qui lui permet de supprimer plus rapidement les surdosages et de minimiser les effets négatifs.","你的身體已經適應了藥物的影響，這使得它能夠更快地排除過量藥物並最大限度地減少負面影響。","あなたの体は薬の効果に適応しているため、過剰摂取をより早く取り除き、悪影響を最小限に抑えることができます。","Seu corpo se adaptou aos efeitos dos medicamentos, o que lhe permite remover a sobredosagem mais rapidamente e minimizar os efeitos negativos.","你的身体已经适应了药物的影响，这使它能够更快地消除过量并最大限度地减少负面影响。",
"STR_TERJEPERK_IMMTY_FASTSLEEP","Fast Sleep","Fast Sleep","Rychlý spánek","Schneller Schlaf","Быстрый сон","Szybkie Spanko","Gyors alvás","Sonno REM","Sueño REM","Sommeil Rapide","快速睡眠","速い睡眠","Sono REM","快速睡眠",
"STR_TERJEPERK_IMMTY_FASTSLEEP_DES","It takes you less time to get a full sleep and rest.","It takes you less time to get a full sleep and rest.","Vašemu trvá méně času, než se plně vyspíte a odpočinete si.","Ihr braucht weniger Zeit, um vollständig zu schlafen und sich auszuruhen.","Вам требуется меньше времени чтобы полностью выспаться и отдохнуть.","Twój organizm potrzebuje mniej czasu, aby w pełni się wyspać i odpocząć.","Kevesebb időt vesz igénybe a teljes éjszakai alvás és pihenés.","Il tuo Ci vuole meno tempo per dormire completamente e riposare.","Su toma menos tiempo para dormir completamente y descansar.","Il vous faut moins de temps pour dormir pleinement et vous reposer.","您只需花費更少的時間就能獲得充分的睡眠和休息。","それは完全な夜の睡眠と休息を得るためにあなたに少ない時間がかかります。","Seu leva menos tempo para dormir e descansar completamente.","它需要你更少的时间来获得一整夜的睡眠和休息。",
"STR_TERJEPERK_IMMTY_IRONMIND","Iron Mind","Iron Mind","Železný rozum","Eiserne Vernunft","Железный рассудок","Psycha ze Stali","Vas elme","Mente di ferro","Mente de hierro","Esprit de Fer","鋼鐵意志","鉄の心","Inteligência de ferro","铁一般的头脑",
"STR_TERJEPERK_IMMTY_IRONMIND_DES","Your psyche has become stronger and accustomed to the horrors of the apocalypse and stressful survival situations, which makes you less prone to panic and mental disorders.","Your psyche has become stronger and accustomed to the horrors of the apocalypse and stressful survival situations, which makes you less prone to panic and mental disorders.","Vaše psychika je silná a zvyklá na hrůzy apokalypsy a stresové situace při přežití, díky nimž jste méně náchylní k panice a duševním poruchám.","Ihre Psyche ist stärker geworden und an die Schrecken der Apokalypse und die Stresssituationen des Überlebens gewöhnt, was Sie weniger anfällig für Panik und psychische Störungen macht.","Ваша психика окрепла и привыкла к ужасам апокалипсиса и стрессовым ситуациям при выживании, что делает вас менее подверженным панике и психическим расстройствам.","Twoja psychika stała się silniejsza i przyzwyczajona do okropności apokalipsy i stresu związanego z przetrwaniem, dzięki czemu jesteś mniej podatny na panikę i zaburzenia psychiczne.","A psziché erősebb lett, és megszokta az apokalipszis borzalmait és a stresszes túlélési helyzeteket, ami kevésbé hajlamos a pánikra és a mentális zavarokra.","La tua psiche si è rafforzata e si è abituata agli orrori dell'Apocalisse e alle situazioni stressanti di sopravvivenza, rendendoti meno incline al panico e ai disturbi mentali.","Su psique se ha fortalecido y se ha acostumbrado a los horrores del Apocalipsis y las situaciones estresantes de supervivencia, lo que lo hace menos propenso al pánico y los trastornos mentales.","Votre psyché est devenue plus forte et habituée aux horreurs de l'apocalypse et aux situations de survie stressantes, ce qui vous rend moins enclin à la panique et aux troubles mentaux.","你的心理變得更加堅強，並且已經適應了末日的恐怖和充滿壓力的生存環境，這使你較不容易陷入恐慌和精神障礙。","あなたの精神はより強くなり、黙示録の恐怖とストレスの多い生存状況に慣れており、パニックや精神障害を起こしにくくなっています。","Sua psique se fortaleceu e se acostumou aos horrores do Apocalipse e às situações estressantes da sobrevivência, o que o torna menos propenso a pânico e transtornos mentais.","你的心灵已经变得更加强大，习惯了天启的恐怖和紧张的生存情况，这使你不太容易出现恐慌和精神障碍。",
"STR_TERJEPERK_IMMTY_RECOVERYSHOCK","Shock Recovery","Shock Recovery","Zotavení z šoku","Erholung nach einem Schock","Восстановление после шока","Powrót do zdrowia po urazie","Felépülés a sokkból","Recupero dallo shock","Recuperación del shock","Récupération des Chocs","休克恢復","ショックからの回復","Recuperação após choque","从休克中恢复过来",
"STR_TERJEPERK_IMMTY_RECOVERYSHOCK_DES","Your body has learned to get out of shock states and comas easier and faster.","Your body has learned to get out of shock states and comas easier and faster.","Vaše tělo se naučilo snadněji a rychleji se dostat z šokového stavu.","Ihr Körper hat gelernt, leichter und schneller aus dem Schockzustand herauszukommen.","Ваше тело научились легче и быстрее выходить из шокового состояния.","Twój organizm nauczył sie łatwiej i szybciej wychodzić z stanu nieprzytomnosci.","A tested megtanulta könnyebben és gyorsabban kijutni a sokkból.","Il tuo corpo ha imparato a uscire dallo Stato di shock più facilmente e più velocemente.","Su cuerpo ha aprendido a salir de un estado de shock más fácil y rápido.","Votre corps a appris à sortir plus facilement et plus rapidement des états de choc et comas.","你的身體已經學會了更容易且更快地從休克狀態和昏迷中恢復過來。","あなたの体はショックからより簡単にそしてより速く抜け出すことを学びました。","Seu corpo aprendeu a sair do Estado de choque com mais facilidade e rapidez.","你的身体已经学会了摆脱休克更容易和更快。",
"STR_TERJEPERK_IMMTY_IMPACTRESIST","Fighter","Fighter","Voják","Kämpfer","Боец","Wojownik","A harcos","Combattente","Combatiente","Combattant","鬥士","ザ-ファイター","Lutador","斗士",
"STR_TERJEPERK_IMMTY_IMPACTRESIST_DES","Your body has become more resistant to physical damage. Due to improved tissue strength and increased ability to protect, the risk of hematomas and other injuries is significantly reduced. ","Your body has become more resistant to physical damage. Due to improved tissue strength and increased ability to protect, the risk of hematomas and other injuries is significantly reduced. ","Vaše tělo se stalo odolnějším vůči fyzickým nárazům a poškození. Díky zlepšené pevnosti tkání a zvýšené schopnosti obrany je riziko hematomů a dalších zranění výrazně sníženo. ","Ihr Körper ist widerstandsfähiger gegen körperliche Stöße und Schäden geworden. Aufgrund der verbesserten Gewebestärke und der erhöhten Schutzfähigkeit ist das Risiko von Hämatomen und anderen Verletzungen erheblich reduziert. ","Ваше тело стало более устойчивым к физическим ударам и повреждениям. Благодаря улучшенной прочности тканей и повышенной способности к защите, риск появления гематом и других травм существенно снижен. ","Twoje ciało jest bardziej odporne na fizyczne uderzenia i obrażenia. Dzięki zwiększonej wytrzymałości i zwiększonej zdolności ochronnej organizmu, ryzyko powstawania siniaków i innych urazów zostało znacznie zmniejszone. ","A tested ellenállóbbá vált a fizikai sokkokkal és sérülésekkel szemben. A jobb szöveti szilárdság és a megnövekedett védelmi képesség miatt a hematómák és egyéb sérülések kockázata jelentősen csökken. ","Il tuo corpo è diventato più resistente agli urti e ai danni fisici. Grazie alla maggiore resistenza dei tessuti e alla maggiore capacità di protezione, il rischio di ematomi e altre lesioni è notevolmente ridotto. ","Su cuerpo se ha vuelto más resistente a los golpes y daños físicos. Gracias a la mejora de la resistencia de los tejidos y una mayor capacidad de protección, el riesgo de hematomas y otras lesiones se reduce significativamente. ","Votre corps est devenu plus résistant aux dommages physiques. En raison d'une meilleure résistance des tissus et d'une capacité de protection accrue, le risque d'hématomes et d'autres blessures est considérablement réduit.","您的身體對物理傷害的抵抗力已經增強。由於組織強度提高和保護能力增強，瘀青和其他損傷的風險顯著降低。","あなたの体は物理的な衝撃および損傷に対してより抵抗力があるようになった。 組織強度の向上と保護能力の向上により、血腫やその他の怪我のリスクが大幅に軽減されます。 ","Seu corpo tornou-se mais resistente a choques físicos e danos. Graças à resistência melhorada dos tecidos e ao aumento da capacidade de proteção, o risco de hematomas e outras lesões é significativamente reduzido. ","你的身体已经变得更能抵抗物理冲击和伤害。 由于改善的组织强度和增加的保护能力，血肿和其他损伤的风险显着降低。 ",
"STR_TERJEPERK_IMMTY_RESISTZMBVIRUS","Zombie Virus Resistance","Zombie Virus Resistance","Odolnost proti zombie viru","Widerstand gegen den Zombie-Virus","Сопротивление зомби вирусу","Odporność na wirusa zombie","Ellenállás A zombi vírussal szemben","Resistenza agli zombi al virus","Resistencia zombie al virus","Résistance au Virus Zombie","殭屍病毒抗性","ゾンビウイルスに対する耐性","Resistência ao vírus zumbi","对僵尸病毒的抵抗",
"STR_TERJEPERK_IMMTY_RESISTZMBVIRUS_DES","Your body has developed unique defense mechanisms to counteract the zombie virus. Thanks to an improved immune response, you are less likely to suffer from symptoms associated with infection, and the course of the disease slows down, which gives you more time for treatment.","Your body has developed unique defense mechanisms to counteract the zombie virus. Thanks to an improved immune response, you are less likely to suffer from symptoms associated with infection, and the course of the disease slows down, which gives you more time for treatment.","Vaše tělo vyvinulo jedinečné obranné mechanismy, které působí proti zombie viru. Díky zlepšené imunitní reakci méně často trpíte příznaky souvisejícími s infekcí a průběh onemocnění se zpomaluje, což vám dává více času na léčbu.","Ihr Körper hat einzigartige Schutzmechanismen entwickelt, um dem Zombie-Virus entgegenzuwirken. Dank einer verbesserten Immunreaktion leiden Sie seltener an den mit der Infektion verbundenen Symptomen, und der Krankheitsverlauf verlangsamt sich, was Ihnen mehr Zeit für die Behandlung gibt.","Ваш организм развил уникальные защитные механизмы для противодействия зомби-вирусу. Благодаря улучшенной иммунной реакции вы реже страдаете от симптомов, связанных с заражением, а течение болезни замедляется, что дает вам больше времени для лечения.","Twoje ciało opracowało unikalne mechanizmy obronne, aby przeciwdziałać wirusowi zombie. Dzięki ulepszonej odpowiedzi immunologicznej, prawdopodobieństwo wystąpienia objawów związanych z infekcją jest mniejsze, a przebieg choroby jest spowolniony, co daje więcej czasu na wyleczenie.","A tested egyedülálló védelmi mechanizmusokat fejlesztett ki a zombi vírus ellensúlyozására. A jobb immunválasznak köszönhetően kevésbé szenved a fertőzéssel kapcsolatos tünetektől, és a betegség lefolyása lelassul, ami több időt biztosít a kezelésre.","Il tuo corpo ha sviluppato meccanismi di difesa unici per contrastare il virus zombi. Con una migliore risposta immunitaria, hai meno probabilità di soffrire di sintomi correlati all'infezione e il decorso della malattia rallenta, dandoti più tempo per guarire.","Su cuerpo ha desarrollado mecanismos de defensa únicos para contrarrestar el virus zombie. Gracias a una mejor respuesta inmune, es menos probable que sufra síntomas relacionados con la infección y el curso de la enfermedad se ralentiza, lo que le da más tiempo para curarse.","Votre corps a développé des mécanismes de défense uniques pour contrer le virus zombie. Grâce à une réponse immunitaire améliorée, vous êtes moins susceptible de souffrir de symptômes associés à l'infection, et le cours de la maladie ralentit, ce qui vous donne plus de temps pour le traitement.","你的身體已經開發出獨特的防禦機制來對抗僵屍病毒。 由于免疫反應的改善，您患感染相關症狀的時間減少，疾病進程減慢，這給了您更多的時間進行治療。","あなたの体は、ゾンビウイルスに対抗するためのユニークな防御機構を開発しました。 改善された免疫応答のおかげで、あなたは感染関連の症状に苦しむ可能性が低く、病気の経過が遅くなり、治療のためのより多くの時間を与えます。","Seu corpo desenvolveu mecanismos de defesa únicos para combater o vírus zumbi. Graças a uma melhor resposta imunológica, é menos provável que você sofra de sintomas relacionados à infecção e o curso da doença seja mais lento, o que lhe dá mais tempo para tratar.","你的身体已经开发出独特的防御机制来对抗僵尸病毒。 由于免疫反应的改善，您患感染相关症状的时间减少，疾病进程减慢，这给了您更多的时间进行治疗。",
"STR_TERJEPERK_IMMTY_RESISTSEPSIS","Sepsis Resistance","Sepsis Resistance","Odpor proti sepsi","Widerstand gegen Sepsis","Сопротивление сепсису","Odporność na sepsę","Szepszis ellenállás","Resistenza alla sepsi","Resistencia a la sepsis","Résistance à la Septicémie","對敗血症的抗性","敗血症に対する耐性","Resistência à sepse","对败血症的抗性",
"STR_TERJEPERK_IMMTY_RESISTSEPSIS_DES","Your body has adapted to the effects of infections, which allows it to deal with blood poisoning more effectively. The improved functioning of the immune system and the ability to regenerate quickly help you withstand potential threats.","Your body has adapted to the effects of infections, which allows it to deal with blood poisoning more effectively. The improved functioning of the immune system and the ability to regenerate quickly help you withstand potential threats.","Vaše tělo se přizpůsobilo účinkům infekcí, což mu umožňuje efektivněji zvládat infekci krve. Zlepšený výkon imunitního systému a schopnost rychlé regenerace vám pomohou čelit potenciálním hrozbám.","Ihr Körper hat sich an die Auswirkungen von Infektionen angepasst, was es ihm ermöglicht, Blutvergiftungen effektiver zu bewältigen. Eine verbesserte Funktion des Immunsystems und die Fähigkeit zur schnellen Regeneration helfen Ihnen, potenziellen Bedrohungen entgegenzuwirken.","Ваш организм адаптировался к воздействию инфекций, что позволяет ему более эффективно справляться с заражением крови. Улучшенная работа иммунной системы и способность к быстрой регенерации помогают вам противостоять потенциальным угрозам.","Twoje ciało przystosowało się do skutków sepsy, co pozwala mu skuteczniej radzić sobie z zatruciem krwi. Ulepszona funkcja układu odpornościowego i zdolność do szybkiej regeneracji pomagają oprzeć się potencjalnym zagrożeniom.","A szervezet alkalmazkodott a fertőzések hatásaihoz, ami lehetővé teszi a vérmérgezés hatékonyabb kezelését. Az immunrendszer jobb működése és a gyors regenerálódási képesség segít ellenállni a potenciális veszélyeknek.","Il tuo corpo si è adattato agli effetti delle infezioni, permettendogli di gestire l'avvelenamento del sangue in modo più efficace. Il miglioramento del funzionamento del sistema immunitario e la capacità di rigenerarsi rapidamente ti aiutano a resistere a potenziali minacce.","Su cuerpo se ha Adaptado a los efectos de las infecciones, lo que le permite lidiar con la contaminación de la sangre de manera más efectiva. El funcionamiento mejorado del sistema inmunológico y la capacidad de regenerarse rápidamente lo ayudan a enfrentar amenazas potenciales.","Votre corps s'est adapté aux effets des infections, ce qui lui permet de faire face plus efficacement à la septicémie. Le fonctionnement amélioré du système immunitaire et la capacité de régénération rapide vous aident à résister aux menaces potentielles.","你的身體已經適應了感染的影響，這使它能夠更有效地處理血液中毒。 免疫系統功能的改善和快速再生的能力幫助您抵禦潛在威脅。","あなたの体は感染症の影響に適応しており、より効果的に血液中毒に対処することができます。 免疫システムの改善された機能と迅速に再生する能力は、潜在的な脅威に耐えるのに役立ちます。","Seu corpo se adaptou aos efeitos das infecções, o que lhe permite lidar com a infecção do sangue de forma mais eficaz. O sistema imunológico aprimorado e a capacidade de se regenerar rapidamente ajudam você a enfrentar ameaças em potencial.","你的身体已经适应了感染的影响，这使它能够更有效地处理血液中毒。 免疫系统功能的改善和快速再生的能力帮助您抵御潜在威胁。",
"STR_TERJEPERK_IMMTY_FEETWARM","Warm Feets","Warm Feets","Nohy v teple","Füße warm","Ноги в тепле","Ciepłe stópki","Láb meleg","Piedi in calore","Pies calientes","Pieds Chauds","保暖雙腳","足は暖かいです","Pés quentes","脚是温暖的",
"STR_TERJEPERK_IMMTY_FEETWARM_DES","Your body uses warmth and comfort to fight colds. Being in a warm place, you get a chance to cure influenza and allowing your immune to work more effectively to prevent it.","Your body uses warmth and comfort to fight colds. Being in a warm place, you get a chance to cure influenza and allowing your immune to work more effectively to prevent it.","Vaše tělo využívá teplo a pohodlí k boji proti nachlazení. Když jste na teplém místě, máte šanci vyléčit chřipku a umožnit imunitě účinněji pracovat, abyste jí zabránili.","Ihr Körper nutzt Wärme und Komfort, um Erkältungen zu bekämpfen. Wenn Sie sich an einem warmen Ort befinden, haben Sie die Chance, die Grippe zu heilen und Ihrem Immunsystem zu ermöglichen, effektiver zu arbeiten, um sie zu verhindern.","Ваше тело использует тепло и комфорт для борьбы с простудой. Находясь в теплом месте, вы получаете шанс вылечить грипп и повысить эффективность своей иммунной системы для его предотвращения.","Twoje ciało wykorzystuje ciepło i komfort do walki z przeziębieniem. Będąc w ciepłym miejscu, masz szansę wyleczyć grypę i pozwolić swojej odporności na skuteczniejszą pracę, aby temu zapobiec.","A tested melegséget és kényelmet használ a megfázás elleni küzdelemben. Mivel egy meleg helyen, akkor kap egy esélyt, hogy gyógyítani influenza, és amely lehetővé teszi az immunrendszer hatékonyabban dolgozni, hogy megakadályozzák azt.","Il tuo corpo usa calore e comfort per combattere il raffreddore. Essendo in un luogo caldo, hai la possibilità di curare l'influenza e permettere al tuo sistema immunitario di lavorare in modo più efficace per prevenirlo.","Su cuerpo usa calor y comodidad para combatir los resfriados. Al estar en un lugar cálido, tiene la oportunidad de curar la influenza y permitir que su sistema inmunológico trabaje de manera más efectiva para prevenirla.","Votre corps utilise la chaleur et le confort pour combattre le rhume. En étant dans un endroit chaud, vous avez la possibilité de guérir la grippe et de permettre à votre système immunitaire de travailler plus efficacement pour la prévenir.","你的身体使用温暖和舒适来对抗感冒。 在一个温暖的地方，你有机会治愈流感，让你的免疫更有效地工作，以防止它。","あなたの体は風邪と戦うために暖かさと快適さを使います。 暖かい場所にいると、インフルエンザを治す機会が得られ、免疫力がより効果的に働き、それを防ぐことができます。","Seu corpo usa calor e conforto para combater resfriados. Estando em um lugar quente, você tem a chance de curar a gripe e permitir que seu sistema imunológico funcione de forma mais eficaz para evitá-la.","你的身体使用温暖和舒适来对抗感冒。 在一个温暖的地方，你有机会治愈流感，让你的免疫更有效地工作，以防止它。",
"STR_TERJEPERK_IMMTY_LOWPAINTRESH","High pain threshold","High pain threshold","Vysoký práh bolesti","Hohe Schmerzschwelle","Высокий болевой порог","Wysoki próg bólu","Magas fájdalomküszöb","Alta soglia del dolore","Umbral de dolor elevado","Seuil de douleur élevé","高痛閾值","痛みのしきい値が高い","Limiar elevado de dor","高痛阈",
"STR_TERJEPERK_IMMTY_LOWPAINTRESH_DES","Your body tolerates pain better, which reduces the pain level by 1 unit. This allows you to stay active and continue to act even in extreme situations.","Your body tolerates pain better, which reduces the pain level by 1 unit. This allows you to stay active and continue to act even in extreme situations.","Vaše tělo lépe snáší bolest, takže hladina bolesti klesá o 1 jednotku. To vám umožní zůstat aktivní a pokračovat v činnosti i v extrémních situacích.","Ihr Körper toleriert Schmerzempfindungen besser, wodurch der Schmerz um 1 Einheit reduziert wird. Dies ermöglicht es Ihnen, aktiv zu bleiben und auch in extremen Situationen weiter zu handeln.","Ваш организм лучше переносит болевые ощущения, благодаря чему уровень боли уменьшается на 1 единицу. Это позволяет вам оставаться активным и продолжать действовать даже в экстремальных ситуациях.","Organizm lepiej toleruje ból, więc jego poziom zmniejsza się o 1 poziom. Pozwala to pozostać aktywnym i kontynuować pracę nawet w ekstremalnych sytuacjach.","A test jobban tolerálja a fájdalmat, ami 1 egységgel csökkenti a fájdalom szintjét. Ez lehetővé teszi, hogy aktív maradjon, és szélsőséges helyzetekben is cselekedjen.","Il tuo corpo tollera meglio il dolore, in modo che il livello di dolore diminuisca di 1 unità. Ciò ti consente di rimanere attivo e continuare ad agire anche in situazioni estreme.","Su cuerpo tolera mejor el dolor, por lo que el nivel de dolor se reduce en 1 unidad. Esto le permite mantenerse activo y seguir actuando incluso en situaciones extremas.","Votre corps tolère mieux la douleur, ce qui réduit le niveau de douleur d'une unité. Cela vous permet de rester actif et de continuer à agir même dans des situations extrêmes.","您的身體能夠更好地耐受疼痛，從而將疼痛等級降低 1 個單位。這使得你即使在極端情況下也能保持活躍並繼續行動。","あなたの体は痛みをよりよく許容し、痛みのレベルを1単位下げます。 これにより、極端な状況でも活動を続け、行動を続けることができます。","Seu corpo tolera melhor a dor, de modo que o nível de dor é reduzido em 1 unidade. Isso permite que você permaneça ativo e continue agindo, mesmo em situações extremas.","你的身体更好地忍受疼痛，这会使疼痛水平降低1个单位。 这使您能够保持活跃，即使在极端情况下也能继续行动。",
"STR_TERJEPERK_IMMTY_THERMOREGULATION","Thermoregulation","Thermoregulation","Termoregulace","Thermoregulation","Терморегуляция","Termoregulacja","Hőszabályozás","Termoregolazione","Termorregulación","Thermorégulation","體溫調節","体温調節","Termorregulação","体温调节",
"STR_TERJEPERK_IMMTY_THERMOREGULATION_DES","Your body has adapted to hard environmental conditions, which reduces the impact of low and high temperatures on your body.","Your body has adapted to hard environmental conditions, which reduces the impact of low and high temperatures on your body.","Vaše tělo se naučilo efektivně přizpůsobit podmínkám prostředí, což snižuje vliv nízkých a vysokých teplot na vaše tělo.","Ihr Körper hat gelernt, sich effektiv an die Umweltbedingungen anzupassen, was die Auswirkungen niedriger und hoher Temperaturen auf Ihren Körper reduziert.","Ваш организм научился эффективно адаптироваться к условиям окружающей среды, что снижает влияние низких и высоких температур на ваш организм.","Twoje ciało nauczyło się skutecznie dostosowywać do warunków środowiskowych, co zmniejsza wpływ niskich i wysokich temperatur na organizm.","A szervezet megtanult hatékonyan alkalmazkodni a környezeti feltételekhez, ami csökkenti az alacsony és magas hőmérséklet hatását a testére.","Il tuo corpo ha imparato ad adattarsi efficacemente alle condizioni ambientali, il che riduce gli effetti delle basse e alte temperature sul tuo corpo.","Su cuerpo ha aprendido a adaptarse de manera efectiva a las condiciones ambientales, lo que reduce los efectos de las bajas y altas temperaturas en su cuerpo.","Votre corps s'est adapté aux conditions environnementales difficiles, ce qui réduit l'impact des basses et hautes températures sur votre corps.","您的身體已經適應了艱苦的環境條件，從而減少了低溫和高溫對您身體的影響。","あなたの体は環境条件に効果的に適応することを学びました、そしてそれはあなたの体への低温と高温の影響を減らします。","Seu corpo aprendeu a se adaptar efetivamente às condições ambientais, o que reduz os efeitos de baixas e altas temperaturas em seu corpo.","你的身体已经学会了有效地适应环境条件，这减少了低温和高温对你身体的影响。",
